"PS: This table only refreshes the data and does not include all occurrences of Palu. For example, the level 10 Balrog Sheep and Mammoth fights that appear in Maple Leaf Forest are random events. pending upgrade",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Pallu refresh level reference,,,,,Minimum appearance level of Palu + refresh area,,,,,,,,Palu's maximum appearance level + refresh area,,,,,
,,,,,,,,,,,,,,,,,,
ID,name,minimum level,maximum level,,ID,name,minimum level,fecundity,Pallu refresh type,Night only,refresh area,,ID,name,maximum level,Pallu refresh type,Night only,refresh area
1,Mian Youyou,1,14,,1,Mian Youyou,1,1470,Creeps,,grassland,,1,Mian Youyou,14,Creeps,,grassland
2,Naughty cat,1,13,,2,Naughty cat,1,1460,Creeps,,grassland,,2,Naughty cat,13,Random dungeon boss,,dungeon
3,Pipi Chicken,1,13,,3,Pipi Chicken,1,1500,Creeps,,grassland,,3,Pipi Chicken,13,Random dungeon boss,,dungeon
4,green leaf rat,2,13,,4,green leaf rat,2,1430,Creeps,,islands,,4,green leaf rat,13,Random dungeon boss,,dungeon
5,tinder fox,2,18,,5,tinder fox,2,1400,Creeps,,islands,,5,tinder fox,18,Wild BOSS,,grassland
6,surf duck,2,13,,6,surf duck,2,1330,Creeps,,islands,,6,surf duck,13,Random dungeon boss,,dungeon
7,Volt Meow,3,17,,7,Volt Meow,3,1410,Creeps,,grassland,,6,surf duck,13,Creeps,,grassland
8,Neolepithecus,2,13,,8,Neolepithecus,2,1250,Creeps,,islands,,7,Volt Meow,17,Creeps,,grassland
9,Fire Deer,2,13,,9,Fire Deer,2,1155,Creeps,,islands,,8,Neolepithecus,13,Random dungeon boss,,dungeon
10,Keimaru,2,45,,10,Keimaru,2,1350,Creeps,,grassland,,9,Fire Deer,13,Random dungeon boss,,dungeon
11,King Keimaru,15,22,,11,King Keimaru,15,520,Secret Domain BOSS,,grassland,,10,Keimaru,45,Random dungeon boss,,dungeon
12,electric rat,3,13,,12,ice agouti,10,1360,event,,Random events,,11,King Keimaru,22,Creeps,,game reserve
12,ice agouti,10,10,,12,electric rat,3,1370,Creeps,,grassland,,12,ice agouti,10,event,,Random events
13,Ye Ni Ni (Special),2,14,,13,Ye NiNi,2,1240,Creeps,,islands,,12,electric rat,13,Random dungeon boss,,dungeon
13,Ye NiNi,2,14,,13,Ye Ni Ni (Special),2,1240,Creeps,,islands,,13,Ye NiNi,14,Creeps,,grassland
14,Tamamo fox,3,13,,14,Tamamo fox,3,1450,Creeps,,grassland,,13,Ye Ni Ni (Special),14,Creeps,,grassland
15,Tikar,3,14,,15,Tikar,3,1390,Creeps,yes,grassland,,14,Tamamo fox,13,Random dungeon boss,,dungeon
16,pot elephant,1,13,,15,Tikar,3,1390,Creeps,yes,islands,,15,Tikar,14,Creeps,yes,grassland
17,Look at the devil,3,14,,16,pot elephant,1,1490,Creeps,,grassland,,16,pot elephant,13,Random dungeon boss,,dungeon
18,Miruffy,2,14,,17,Look at the devil,3,1380,Creeps,yes,grassland,,17,Look at the devil,14,Creeps,yes,grassland
19,sleep demon,3,15,,17,Look at the devil,3,1380,Creeps,yes,islands,,18,Miruffy,14,Creeps,,grassland
20,sage pig,2,13,,18,Miruffy,2,1455,Creeps,,grassland,,19,sleep demon,15,Creeps,,dungeon
21,Lunati,3,19,,18,Miruffy,2,1455,Creeps,,islands,,20,sage pig,13,Random dungeon boss,,dungeon
22,Escape Rat,5,40,,19,sleep demon,3,1230,Creeps,yes,grassland,,21,Lunati,19,Random dungeon boss,,dungeon
23,squid,5,13,,20,sage pig,2,1130,Creeps,,islands,,22,Escape Rat,40,Random dungeon boss,,dungeon
24,ice cream,30,45,,21,Lunati,3,1180,Creeps,yes,islands,,23,squid,13,Random dungeon boss,,dungeon
24,Meowster,5,15,,22,Escape Rat,5,1220,Creeps,,dungeon,,24,ice cream,45,Random dungeon boss,,dungeon
